视频标题,弹幕数,网址,bvid,页数
伤心太平洋！日本排污入海一周，约2000吨核污染水流入大海,763,http://www.bilibili.com/video/av362912126,BV1t94y147Fk,1
日本核污染水排海量已超4200吨：监测报告未提及氚以外核素,93,http://www.bilibili.com/video/av660595800,BV1Dh4y1m7t7,1
日本第二批核污水排海或9月底开始,53,http://www.bilibili.com/video/av448163100,BV1Wj41117UN,1
瞒报、逃避、不作为…日本核污染水泄漏事故是如何欺骗全世界的？,2214,http://www.bilibili.com/video/av957663178,BV1Ap4y1E718,1
民进党“洗白”日本核污染水排海 台民众怒吼：明目张胆出卖台湾,147,http://www.bilibili.com/video/av405516734,BV1nG411o7uX,1
日方称中方是唯一反对核污染水排海的国家 外交部驳斥：颠倒黑白,291,http://www.bilibili.com/video/av702939586,BV1Sm4y1T7VL,1
73秒看懂，日本核污水排放会影响哪里？,3478,http://www.bilibili.com/video/av275130756,BV1yF411C7ZJ,1
【福岛之殇】日本核污染水排海的背后，真相是什么？,991,http://www.bilibili.com/video/av660369077,BV1zh4y127Ur,1
2023.08.24 这一天日本对全人类海洋发起“袭击”,2569,http://www.bilibili.com/video/av830149424,BV1hu4y1X78f,1
日本核污染水排海4000天后海洋啥样?,331,http://www.bilibili.com/video/av232698589,BV1M8411X7DP,1
日本称核污染水排海受美国等肯定  外交部：除了美国，还有谁？,31,http://www.bilibili.com/video/av405277807,BV1NG411d7H5,1
日本往大海倒核污染水 哆啦A梦第一个不答应,8073,http://www.bilibili.com/video/av915128700,BV14u4y1i7Xu,1
韩国民众烛光集会抗议日本核污染水排海,56,http://www.bilibili.com/video/av490541170,BV1YN411v7nc,1
现场航拍：日本核污染水已进入大海,280,http://www.bilibili.com/video/av872716729,BV1RN4y197iS,1
日本已排放超3800吨核污染水,195,http://www.bilibili.com/video/av363086942,BV1894y1s7f6,1
台湾民众抗议核污染水排海 怒吼：日本是罪犯，美国是帮凶！,340,http://www.bilibili.com/video/av702822348,BV1Gm4y1T71W,1
日本核污染水排海正式开始,15586,http://www.bilibili.com/video/av490218445,BV1vN411i73M,1
德国博主：日本核污染水排海，违反了国际法！,23,http://www.bilibili.com/video/av232869991,BV1s8411z7X5,1
“辐”水难收！日本核污染水排海背后是谁在“撑腰”？,113,http://www.bilibili.com/video/av532700075,BV1Fu411N749,1
斐济民众游行抗议日本核污染水排海,266,http://www.bilibili.com/video/av575261634,BV1wz4y1M7v8,1
日本核污染水排海启动瞬间画面,727,http://www.bilibili.com/video/av787696040,BV1m14y117iV,1
日本强推核污染水排海，全球各地民众如何回答！,104,http://www.bilibili.com/video/av275157593,BV1RF411C73F,1
外交部：日本核污染水排海行径侵犯各国人民健康权、发展权和环境权,48,http://www.bilibili.com/video/av915225414,BV1su4y1e7E7,1
